,terms,csu_queries,csu_ctr,csu_find,nocsu_queries,nocsu_ctr,nocsu_find
576,botin piel,73.0,34.0,32.0,37.0,12.0,6.0
479,william,73.0,48.0,44.0,9.0,4.0,4.0
488,david,73.0,57.0,48.0,9.0,4.0,4.0
523,abeto,73.0,52.0,44.0,5.0,5.0,5.0
440,lianar,73.0,50.0,47.0,4.0,4.0,3.0
593,pulsera,72.0,18.0,17.0,34.0,6.0,6.0
543,blaser,72.0,30.0,28.0,16.0,10.0,5.0
545,vestido midi guipur,72.0,35.0,32.0,16.0,5.0,5.0
501,pam,71.0,35.0,31.0,14.0,4.0,4.0
597,abrigos plumas,70.0,59.0,45.0,26.0,32.0,12.0
531,pantalon cinturon,69.0,38.0,26.0,41.0,5.0,5.0
489,cuso,69.0,27.0,26.0,9.0,8.0,8.0
590,abrigo blanco,68.0,53.0,27.0,51.0,12.0,12.0
521,star,68.0,44.0,40.0,9.0,5.0,4.0
592,cazadora biker apliques,67.0,66.0,55.0,39.0,24.0,12.0
518,john,67.0,61.0,48.0,9.0,5.0,4.0
620,blusa italy,66.0,25.0,23.0,28.0,19.0,19.0
624,texas,66.0,38.0,36.0,21.0,7.0,7.0
517,oleo,66.0,25.0,24.0,9.0,4.0,4.0
549,soul,66.0,23.0,21.0,5.0,5.0,5.0
530,abrigo mostaza,65.0,4.0,4.0,49.0,18.0,18.0
456,tachuelas,65.0,30.0,28.0,44.0,3.0,3.0
594,jersey negro mujer,65.0,44.0,15.0,30.0,6.0,5.0
599,americana botones,65.0,17.0,16.0,18.0,6.0,6.0
601,sharon,65.0,34.0,32.0,12.0,12.0,12.0
512,astro,63.0,41.0,38.0,18.0,4.0,4.0
580,francia,63.0,24.0,23.0,11.0,10.0,10.0
503,camiseta rock,63.0,34.0,32.0,8.0,4.0,4.0
575,falda ante,62.0,15.0,14.0,33.0,5.0,5.0
539,chicago,62.0,33.0,31.0,18.0,13.0,13.0
598,bella,62.0,22.0,20.0,17.0,6.0,5.0
604,cesped,62.0,48.0,45.0,6.0,6.0,6.0
552,abrigo pelo capucha,61.0,26.0,20.0,44.0,18.0,18.0
621,rico,61.0,35.0,32.0,25.0,18.0,17.0
628,jeans slim,61.0,17.0,16.0,19.0,12.0,12.0
630,americana cuadrito,61.0,58.0,49.0,13.0,12.0,12.0
490,cazadora leila,61.0,50.0,45.0,7.0,4.0,4.0
606,plait,61.0,53.0,50.0,6.0,6.0,5.0
569,maca,61.0,31.0,29.0,5.0,5.0,5.0
506,line,61.0,11.0,10.0,4.0,4.0,4.0
602,abrigo nuri,60.0,32.0,29.0,11.0,11.0,10.0
515,top flecos,60.0,35.0,33.0,9.0,4.0,4.0
641,camiseta solidaria,59.0,37.0,29.0,47.0,26.0,25.0
617,lunar,59.0,23.0,10.0,30.0,12.0,6.0
618,faz,59.0,38.0,36.0,30.0,6.0,6.0
613,jersey lunares,58.0,11.0,10.0,37.0,12.0,6.0
615,verde agua,58.0,17.0,10.0,36.0,6.0,6.0
509,nevado,58.0,33.0,31.0,25.0,12.0,11.0
568,brillos,58.0,9.0,8.0,10.0,5.0,4.0
586,cuadrito,58.0,29.0,26.0,5.0,5.0,5.0
645,berlin,57.0,43.0,40.0,27.0,6.0,6.0
659,lucille,57.0,12.0,11.0,13.0,6.0,6.0
632,lennon,57.0,44.0,41.0,12.0,12.0,11.0
519,yeti,57.0,51.0,45.0,8.0,4.0,4.0
507,petra,57.0,30.0,28.0,4.0,4.0,3.0
596,tunica,56.0,25.0,23.0,22.0,5.0,5.0
627,solap,56.0,42.0,34.0,17.0,11.0,10.0
591,mono encaje,55.0,34.0,31.0,42.0,5.0,5.0
573,blazer blanca,55.0,31.0,29.0,29.0,14.0,13.0
561,bota celsa,55.0,37.0,30.0,9.0,4.0,4.0
548,ryan,55.0,38.0,35.0,8.0,4.0,4.0
612,jersey hilo metalico,54.0,37.0,34.0,40.0,28.0,26.0
556,americana gales,54.0,40.0,36.0,13.0,12.0,12.0
585,adela,54.0,25.0,24.0,9.0,4.0,4.0
528,jegging,53.0,25.0,24.0,48.0,15.0,15.0
498,candela,53.0,39.0,36.0,14.0,3.0,3.0
686,cazadora piel negra,53.0,44.0,12.0,14.0,7.0,7.0
605,leonor,53.0,33.0,30.0,5.0,5.0,5.0
642,falda tul,52.0,27.0,25.0,42.0,17.0,11.0
529,jersey punto combinado,52.0,29.0,27.0,39.0,30.0,26.0
671,bolso bordado,52.0,31.0,29.0,35.0,7.0,6.0
537,corleone,52.0,43.0,36.0,16.0,4.0,4.0
563,nudoso,52.0,43.0,39.0,8.0,4.0,4.0
698,liberty,52.0,25.0,23.0,7.0,6.0,6.0
694,marte,51.0,24.0,23.0,14.0,6.0,6.0
527,cazadora ante,51.0,13.0,12.0,4.0,3.0,3.0
637,cardigan pelo,50.0,10.0,10.0,468.0,72.0,70.0
677,cazadoras vaqueras,50.0,23.0,22.0,33.0,13.0,12.0
533,fuseau,50.0,30.0,28.0,25.0,14.0,14.0
649,halter,50.0,32.0,30.0,24.0,6.0,5.0
651,jersey flecos,50.0,21.0,20.0,18.0,6.0,6.0
693,skinny crop,50.0,30.0,28.0,13.0,6.0,6.0
730,jersey rayas botones,48.0,39.0,36.0,21.0,13.0,13.0
688,silvy,48.0,17.0,16.0,12.0,12.0,12.0
692,olga,48.0,23.0,21.0,12.0,6.0,6.0
656,rosanna,48.0,36.0,33.0,11.0,10.0,10.0
566,leli,48.0,28.0,26.0,8.0,11.0,7.0
581,camiseta flecos,48.0,32.0,29.0,8.0,8.0,8.0
744,blusa pink,48.0,39.0,36.0,7.0,7.0,7.0
664,amelia,48.0,30.0,23.0,5.0,5.0,5.0
588,jersey globo,48.0,23.0,21.0,4.0,4.0,4.0
610,canguro,47.0,32.0,25.0,54.0,5.0,5.0
675,vestido saco,47.0,6.0,5.0,30.0,6.0,6.0
644,abrigo capucha,47.0,25.0,14.0,27.0,16.0,15.0
650,chaqueta seul,47.0,10.0,10.0,17.0,11.0,11.0
702,vanet,47.0,29.0,27.0,6.0,6.0,6.0
551,splota,47.0,16.0,15.0,4.0,3.0,3.0
721,vestido cuello,46.0,26.0,24.0,35.0,20.0,13.0
572,aviador,46.0,33.0,31.0,25.0,8.0,7.0
626,nerv,46.0,36.0,34.0,15.0,14.0,14.0
658,eva,46.0,29.0,27.0,11.0,5.0,5.0
629,push up kim,46.0,35.0,32.0,10.0,5.0,5.0
587,ice,46.0,29.0,27.0,4.0,4.0,4.0
