,total_queries,ctr,zero_resulto_rate,keywords,lang
2199,1783.0,42.6978515094,48.4906173511,side,English
2136,1782.0,25.589485891,68.8828759181,sandalia,Spanish
453,1776.0,0.0,100.0,bikini,Spanish
1834,1771.0,26.9291694954,40.0769404843,parches,Spanish
2159,1770.0,30.7007355788,68.524970964,set,Spanish
2226,1770.0,51.5387888243,12.5514111474,skinny,Spanish
896,1766.0,35.6874031437,39.0967456276,cremallera,Spanish
2541,1754.0,20.6118810023,5.48690837426,vaqueros,Spanish
1457,1738.0,26.9151138716,89.9585921325,largas,Spanish
539,1725.0,36.3131079203,26.6327003242,bordado,Spanish
1603,1697.0,70.5805095876,22.2878907276,mickey,Spanish
53,1684.0,3.51648351648,92.5274725275,3,English
405,1672.0,6.96178584941,63.2614453273,bardot,English
936,1667.0,11.8378627361,76.784891755,cut,English
1436,1649.0,7.0351758794,75.3312014619,knot,English
2551,1645.0,32.1494831699,21.7996289425,verde,Spanish
2545,1642.0,44.7034207581,7.98987883801,velvet,English
681,1634.0,31.4126394052,33.746385791,canale,Spanish
1737,1633.0,9.05044510386,80.7616221563,on,English
2417,1632.0,14.922813036,69.9828473413,text,English
1296,1629.0,49.1109808519,15.9144196952,hood,English
780,1620.0,44.9347826087,17.6086956522,choker,Spanish
2342,1611.0,62.6575028637,20.5040091638,super,Spanish
2441,1610.0,23.4101638434,22.3549014163,tirantes,Spanish
1612,1600.0,28.6642599278,19.2539109507,militar,Spanish
377,1595.0,33.4858886346,60.8314263921,bajo,Spanish
1477,1571.0,60.4763491006,26.1658894071,legging,Spanish
526,1562.0,42.0741928431,11.3840099118,bomber,English
469,1559.0,64.0607276852,13.6026524736,blazer,Spanish
1771,1554.0,32.2611694874,12.4649073554,oversized,English
2015,1542.0,36.8736651881,12.6663380976,punto,Spanish
2627,1534.0,23.0283005315,22.0370636403,yellow,English
878,1509.0,22.7223466513,10.9023914457,corta,Spanish
1995,1499.0,40.195432161,2.90627787041,puffer,English
1494,1492.0,59.7933706414,32.1136461472,lentejuelas,Spanish
588,1491.0,30.8524083696,20.9380704957,bralette,Spanish
510,1484.0,32.621376649,13.3177779772,bodysuit,English
904,1467.0,25.4062469592,14.274593753,crop,English
1703,1462.0,0.0,100.0,ninas,Spanish
1903,1461.0,33.2754549243,10.1472426726,pink,English
476,1441.0,32.8254244667,62.7340008707,blonda,Spanish
1851,1438.0,8.78378378378,80.9684684685,patches,English
2141,1434.0,6.39960918417,70.0537371764,sateen,English
749,1424.0,22.9617074949,2.80640901835,chaquetas,Spanish
1998,1420.0,37.7083670497,22.9810648972,puffy,English
1159,1394.0,3.07692307692,89.358974359,frilled,English
768,1389.0,0.0,100.0,chico,Spanish
1777,1385.0,37.3150565709,30.134899913,padded,English
2637,1375.0,19.8300244579,1.87874895815,zapatos,Spanish
677,1372.0,30.4027226319,12.9703157497,camuflaje,Spanish
2534,1367.0,16.0993400486,23.7408822508,v,English
1926,1364.0,37.098376946,45.1805233521,plataforma,Spanish
979,1362.0,49.0476190476,54.0476190476,detalle,Spanish
2504,1358.0,73.6255839023,12.1990657564,tul,Spanish
2138,1357.0,13.0656108597,76.7533936652,sandals,English
2086,1342.0,35.6696549851,7.29149687585,rojo,Spanish
1271,1323.0,13.6198547215,80.0847457627,hem,English
2225,1322.0,35.2486625718,13.0968892411,skinny,English
1770,1316.0,52.1183533448,11.2864493997,oversize,Spanish
522,1298.0,57.6423128642,58.1801882564,bolsillos,Spanish
2142,1296.0,13.6789506558,80.9494066209,saten,Spanish
921,1292.0,44.6269678303,44.2162902122,cruzado,Spanish
1122,1279.0,42.8448523086,36.6790937769,flecos,Spanish
54,1271.0,18.8155459593,78.4083898828,3,Spanish
1837,1270.0,65.0705399958,8.82618667037,parka,Spanish
2614,1259.0,18.6903680145,7.15015901863,women,English
2304,1258.0,27.9350828729,14.4797421731,stripe,English
2456,1245.0,12.5667877752,6.6520624065,tops,English
448,1244.0,41.448448708,10.7510154697,biker,English
1460,1230.0,24.2895995498,11.5352152302,largos,Spanish
1955,1204.0,19.2675159236,47.9299363057,pocket,English
1433,1200.0,31.2543192813,20.7325501037,knit,English
2022,1181.0,63.6814686182,29.2979409576,push,English
2603,1176.0,35.680095732,23.4543278819,wide,English
1985,1160.0,18.3254716981,27.358490566,printed,English
1026,1157.0,2.54276467869,53.4905224226,effect,English
560,1157.0,4.14902624894,48.983911939,bow,English
938,1155.0,0.0,100.0,dama,Spanish
410,1153.0,28.0501392758,32.1169916435,basica,Spanish
933,1144.0,10.0156494523,44.7574334898,culottes,English
2104,1134.0,25.5132767588,31.0429783739,rosas,Spanish
2418,1127.0,44.0945728103,12.1117678667,texto,Spanish
2421,1124.0,11.8367346939,76.462585034,textured,English
341,1122.0,0.0,100.0,army,English
2299,1121.0,8.77788554801,54.3646944714,straps,English
1884,1117.0,26.6852599098,6.62829337764,peto,Spanish
915,1115.0,11.7647058824,70.5249841872,crossover,English
1836,1111.0,54.8750107379,9.54385362082,parka,English
2327,1109.0,30.0241400121,33.464091732,suede,English
1301,1106.0,16.7214731996,18.1848076291,hoodies,English
1478,1103.0,60.5687047995,18.1295200526,leggings,English
845,1100.0,32.2810275457,34.0451872485,color,Spanish
2271,1099.0,4.57912457912,74.0067340067,sole,English
2084,1096.0,58.582781457,14.5165562914,roja,Spanish
259,1084.0,36.166057389,5.42841404176,abrigos,Spanish
397,1082.0,9.20716112532,21.286641747,bano,Spanish
505,1082.0,25.3644314869,10.5150631681,body,English
805,1079.0,24.5436105477,18.2386747803,cinturon,Spanish
2313,1077.0,23.3594220349,64.8404575557,style,English
550,1071.0,44.9822036521,4.143454039,botas,Spanish
1028,1070.0,21.5437225208,52.2716170005,elastic,English
1427,1069.0,40.3658826325,25.3979567593,kimono,Spanish
